Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
70,OEF,HB,Broad Equity & Factors,S&P 100,0.4215905702593232,0.16634644445524782,0.16436458824964295,0.18438818406029855,0.03292210486360925,0.0017020924765360768,0.0010009219017514948,COOLING,Positive trend losing velocity into 1m; 1d up.
71,EWZ,,International,Brazil Equity,0.5030218571139842,0.26711123449967666,0.15701574877289226,0.037731156255532694,0.11236288170767872,0.09515469935785181,-0.005829358770535253,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
72,SPGP,HB,Broad Equity & Factors,GARP Factor,0.22971254128809204,0.08694438814803807,0.14591890817555986,0.11656170258297993,0.008167602041903477,-0.051464828450571765,-0.00542094455852149,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
73,MGK,,Broad Equity & Factors,Mega Cap Growth,0.46973594099674587,0.15138380916603555,0.13238198593191686,0.20690377874994947,0.02721693640779055,0.016780400492225178,0.0035331787567627337,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
74,IAK,HB,Financials & Credit,Insurance,0.09076773082276568,0.12173229059999557,0.13035347243915485,0.13235676733201673,0.0655512192815133,-0.007626978683540342,-0.006128987324140023,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
75,VWO,,International,Emerging Markets,0.3269215595418873,0.12949651988484212,0.13006117403575934,0.11241104791753709,-0.012506170807964567,-0.0004996668887408129,0.0016691704223001924,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
76,SCHG,,Broad Equity & Factors,Large Growth,0.4124180760962102,0.1276739471257078,0.12862879382098802,0.19161283215902314,0.04620995317765075,-0.0008460236886632666,0.0008474576271186862,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
77,IGF,,Industrials,Infrastructure,0.22086642520273303,0.0721391862007823,0.12034047302696904,-0.042322838621019265,-0.04807112718505124,-0.04302378427510989,-0.006761006289308202,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
78,VUG,,Broad Equity & Factors,Large Growth,0.4360682428154765,0.1292597353468905,0.1188260115949531,0.18976297167454503,0.02148104568134368,0.00932559990901849,0.003618681442949079,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
79,VNQ,,Inflation & Real Assets,U.S. Equity REITs,0.07922295026623627,0.04843294866115344,0.11275398845631623,0.03429263395293858,-0.01916168567423726,-0.05780346820809257,-0.009593859929645121,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
80,XLP,,Defensive Equity,Consumer Staples,0.08005044393207905,0.06052371959605196,0.10842660258263703,0.02285964410339103,0.0008945810324647585,-0.0432170094753872,-0.008264462809917328,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
81,EDEN,HB,International,Denmark Equity,0.08592218849748412,0.06375044821376075,0.09210966388130282,0.13810120147882898,0.07030223390275947,-0.025967369949602692,-0.005841325196163871,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
82,VFH,,Financials & Credit,Financials,0.18588096449117075,0.04899739256700375,0.08231721878337073,0.1522219185752205,0.043830145258623165,-0.030785638108780766,-0.0002200220022002819,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
83,XLF,,Financials & Credit,Financials,0.16558196402557868,0.049319272023837346,0.0793642046515779,0.1505204673396674,0.046775196010350184,-0.027835768963117458,0.0,CORRECTION,Established trend; positive 3m but negative 1m; 1d flat.
84,XLU,,Defensive Equity,Utilities,0.08928017373901276,0.0015681560330289557,0.07272579631566756,-0.10503595624686468,-0.07590609820002192,-0.06633348477964562,-0.014152074838090556,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
85,EUO,HB,Currency,2x Inverse Euro,-0.027284263959390875,0.11086956521739122,0.07173913043478253,0.041794087665647295,0.006565988181221227,0.036511156186612714,0.00032626427406201586,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
86,VONG,,Broad Equity & Factors,Large Growth,0.36583223294782075,0.07368626065171391,0.06776783886687898,0.13500016319693064,0.0009458500827617122,0.005542798321323872,0.005463182897862184,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
87,IWF,,Broad Equity & Factors,Russell 1000 Growth,0.3639091366682772,0.07213679732627676,0.06613224286208363,0.1342047296799811,0.0013871794513831137,0.005632091613769763,0.005876111972578091,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
88,BOTZ,,Growth & Technology,Robotics & AI,0.15953399055843898,0.02645437011512941,0.06358330916514987,0.007097388070936184,-0.08450457452616267,-0.03490929081913152,-0.00028473804100226374,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
